garaż,imprezy,chlanie,siłownia;
pies,szczekanie,smycz,kość;
kot,mruczenie,wąsy,kuweta;
słoń,trąba,kły,safari;
żyrafa,szyja,sawanna,cętki;
wąż,syk,łuski,jad;
pająk,sieć,nogi,strach;
ptak,pióra,lot,dziób;
ryba,woda,łuski,skrzela;
żaba,skok,staw,rechot;
koń,kopyta,siodło,galop;
krowa,mleko,rogi,pastwisko;
świnia,błoto,ryj,chlew;
kura,jajka,dziób,pióra;
wilk,las,wycie,wataha;
niedźwiedź,miód,sen,futro;
lis,ruda,las,spryt;
małpa,banan,drzewo,dżungla;
lew,grzywa,ryk,król;
tygrys,paski,dżungla,kot;
kangur,skok,torba,australia;
chleb,piekarnia,masło,skórka;
jabłko,owoc,drzewo,sad;
banan,żółty,owoc,skórka;
pomidor,czerwony,warzywo,krzak;
ziemniak,pole,frytki,obiad;
ser,mleko,żółte,dziury;
mleko,krowa,białe,napój;
jajko,kura,skorupka,żółtko;
mięso,obiad,pieczeń,grill;
ryż,biały,azja,ziarno;
makaron,włochy,nitki,sos;
pizza,włochy,ser,ciasto;
burger,bułka,mięso,fastfood;
frytki,ziemniaki,olej,sól;
lody,zimne,deser,rożek;
czekolada,kakao,słodkie,tabliczka;
cukierek,słodkie,papierek,deser;
tort,świeczki,urodziny,słodkie;
woda,picie,kran,butelka;
kawa,kofeina,czarna,kubek;
herbata,wrzątek,liście,kubek;
sok,owoce,picie,witaminy;
zupa,talerz,łyżka,obiad;
stół,blat,nogi,drewno;
krzesło,siedzenie,nogi,stół;
łóżko,sen,materac,poduszka;
szafa,ubrania,drzwi,drewno;
telewizor,ekran,pilot,obraz;
komputer,ekran,klawiatura,mysz;
telefon,ekran,dzwonienie,kieszeń;
zegarek,czas,wskazówki,nadgarstek;
książka,strony,czytanie,papier;
zeszyt,strony,pisanie,szkoła;
długopis,pisanie,tusz,szkoła;
ołówek,pisanie,grafit,gumka;
plecak,szkoła,plecy,torba;
portfel,pieniądze,kieszeń,skóra;
klucze,zamek,drzwi,kieszeń;
okulary,oczy,szkła,widzenie;
lustro,odbicie,szkło,ściana;
grzebień,włosy,czesanie,plastik;
szczoteczka,zęby,pasta,łazienka;
mydło,mycie,piana,łazienka;
ręcznik,wycieranie,materiał,łazienka;
papier,biały,kartka,pisanie;
nożyczki,cięcie,ostrze,papier;
nóż,cięcie,kuchnia,ostrze;
widelec,jedzenie,kuchnia,metal;
łyżka,zupa,kuchnia,metal;
garnek,gotowanie,kuchnia,metal;
patelnia,smażenie,kuchnia,metal;
talerz,jedzenie,kuchnia,szkło;
kubek,picie,ucho,kawa;
szkoła,uczniowie,nauczyciel,lekcje;
dom,dach,ściany,rodzina;
praca,pieniądze,szef,biuro;
sklep,zakupy,pieniądze,kasa;
szpital,lekarz,choroba,leki;
kino,film,popcorn,ekran;
teatr,scena,aktorzy,kurtyna;
park,drzewa,ławka,spacer;
las,drzewa,zwierzęta,mech;
góry,szczyt,śnieg,wspinaczka;
morze,woda,plaża,fale;
plaża,piasek,morze,słońce;
rzeka,woda,nurt,most;
jezioro,woda,brzeg,łódka;
słońce,niebo,ciepło,dzień;
księżyc,niebo,noc,gwiazdy;
gwiazda,niebo,noc,świecenie;
chmura,niebo,deszcz,biała;
deszcz,woda,niebo,krople;
śnieg,zima,biały,zimno;
wiatr,powietrze,dmuchanie,drzewa;
burza,piorun,grzmot,deszcz;
ogień,ciepło,płomień,drewno;
samochód,koła,kierownica,silnik;
rower,koła,pedały,kierownica;
pociąg,tory,wagony,stacja;
samolot,latanie,skrzydła,niebo;
statek,woda,rejs,pokład;
koszula,guziki,materiał,ubranie;
spodnie,nogawki,kieszenie,materiał;
buty,stopy,sznurówki,chodzenie;
czapka,głowa,zima,materiał;
szalik,szyja,zima,materiał;
rękawiczki,dłonie,zima,materiał;
